result,paper,experiment,good,anchor,elicitation,incentives,n_total,n_low,mean_low,n_high,mean_high,sd_pooled,ratio,r_effect,z_effect,z_se,z_weight,g_effect,g_se,g_weights
1,Ariely et al (2003),1,familiar,questionable,WTP,yes,55,27.5,14.71,27.5,25.13,12.39468685,1.708361659,0.3875,0.408854952,0.138675049,52,0.840682796,0.281340098,12.63387955
2,Ariely et al (2003),2,unfamiliar,informative,WTA,yes,88,44,0.4,44,0.6,0.211365382,1.5,0.427665596,0.457036248,0.108465229,85,0.946228745,0.224814934,19.78562092
3,Ariely et al (2003),3,unfamiliar,questionable,WTA,yes,90,45,3.55,45,5.76,1.943401254,1.622535211,0.494278123,0.54170582,0.107211253,87,1.137181524,0.227219691,19.36903888
4,Ariely et al (2003),4,unfamiliar,informative,WTA,yes,53,26.5,0.43,26.5,1.3,0.688132794,3.023255814,0.534335241,0.596193262,0.141421356,50,1.264290858,0.30091733,11.04347116
5,Ariely et al (2003),5,unfamiliar,informative,WTA,yes,44,22,0.34,22,0.73,0.227121779,2.147058824,0.651415463,0.77775364,0.156173762,41,1.71714048,0.352725934,8.037578288
6,Ariely et al (2003),6,unfamiliar,informative,WTA,yes,59,29.5,82,29.5,162,60.76436203,1.975609756,0.549841415,0.61815398,0.133630621,56,1.316561177,0.287203544,12.12328767
7,Simonson & Drolet (2004),1a,familiar,questionable,WTP,no,58,29,25,29,38,9.321451612,1.52,0.571983991,0.650466594,0.134839972,55,1.394632568,0.292801569,11.66415284
8,Simonson & Drolet (2004),1b,familiar,questionable,WTA,no,58,29,35,29,32.5,14.43375673,0.928571429,-0.086279596,-0.086494651,0.134839972,55,-0.173205081,0.263104804,14.44582814
9,Simonson & Drolet (2004),1c,familiar,questionable,WTP,no,58,29,32.5,29,35,9.321451612,1.076923077,0.132909579,0.133700594,0.134839972,55,0.268198571,0.26379084,14.3707878
10,Simonson & Drolet (2004),1d,familiar,questionable,WTA,no,58,29,25,29,28.8,14.43375673,1.152,0.130509979,0.131258631,0.134839972,55,0.263271723,0.263748051,14.37545109
11,Simonson & Drolet (2004),1e,familiar,questionable,WTP,no,58,29,32.5,29,36.9,9.321451612,1.135384615,0.229703843,0.233876791,0.134839972,55,0.472029485,0.266244829,14.10709649
12,Simonson & Drolet (2004),1f,familiar,questionable,WTA,no,58,29,25,29,27.5,14.43375673,1.1,0.086279596,0.086494651,0.134839972,55,0.173205081,0.263104804,14.44582814
13,Simonson & Drolet (2004),2a,familiar,questionable,WTP,no,64,32,28.8,32,43.8,8.447565523,1.520833333,0.663921281,0.799793448,0.12803688,61,1.775659503,0.295182235,11.47676701
14,Simonson & Drolet (2004),2b,familiar,questionable,WTP,no,64,32,27.6,32,32.5,13.08059204,1.177536232,0.184098997,0.186222199,0.12803688,61,0.374600782,0.252183058,15.72418648
15,Simonson & Drolet (2004),2c,familiar,questionable,WTA,no,64,32,28,32,27.5,8.447565523,0.982142857,-0.029581374,-0.029590007,0.12803688,61,-0.05918865,0.250054733,15.99299647
16,Simonson & Drolet (2004),2d,familiar,questionable,WTA,no,64,32,23.8,32,32.5,13.08059204,1.365546218,0.315561917,0.326710491,0.12803688,61,0.66510751,0.256819002,15.1616229
17,Simonson & Drolet (2004),3a,familiar,questionable,WTP,no,43,21.5,34.4,21.5,41.3,37.45964495,1.200581395,0.091710975,0.091969404,0.158113883,40,0.184198222,0.305643222,10.70460047
18,Simonson & Drolet (2004),3b,familiar,questionable,WTP,no,46,23,31.9,23,37.3,12.35595908,1.169278997,0.213480612,0.216815338,0.15249857,43,0.437036086,0.298383335,11.23183908
19,Simonson & Drolet (2004),3c,familiar,questionable,WTA,no,43,21.5,37.5,21.5,33.8,37.45964495,0.901333333,-0.049326362,-0.049366426,0.158113883,40,-0.09877296,0.305183058,10.73690621
20,Simonson & Drolet (2004),3d,familiar,questionable,WTA,no,46,23,19,23,31.9,12.35595908,1.678947368,0.46275845,0.500815737,0.15249857,43,1.044030651,0.314331589,10.1210121
21,Simonson & Drolet (2004),4a,familiar,questionable,WTA,yes,100,50,4.5,50,6,4.176675742,1.333333333,0.176741742,0.178617355,0.101534617,97,0.359137288,0.201605798,24.603334
22,Simonson & Drolet (2004),4b,familiar,questionable,WTA,yes,178,89,29,89,32.5,11.56489941,1.120689655,0.149616704,0.15074834,0.075592895,175,0.3026399,0.150762024,43.99629245
23,Ariely et al (2006),2,unfamiliar,informative,WTP,yes,164,73,-2.7,91,1.8,1.618104633,1.5,0.811858509,1.132457054,0.078811041,161,2.781031528,0.219698259,20.71794939
24,Ariely et al (2006),2,unfamiliar,informative,WTP,yes,164,73,-2.7,91,2.2,1.618104633,1.227272727,0.834436401,1.202568587,0.078811041,161,3.028234331,0.229446241,18.99494783
25,Ariely et al (2006),3,unfamiliar,questionable,WTP,yes,81,35,1.13,46,4.46,3.276162466,3.946902655,0.4530639,0.488548832,0.113227703,78,1.016433109,0.2380923,17.64043535
26,Wu et al (2008),1,familiar,informative,WTP,no,169,84.5,10694.43,84.5,18762.65,10229.40411,1.75443198,0.36686653,0.38479747,0.077615053,166,0.78872825,0.159715837,39.20162185
27,Wu et al (2008),2,familiar,informative,WTP,no,159,79.5,10811.37,79.5,14522.5,8221.889866,1.34326177,0.220149025,0.223812719,0.080064077,156,0.451371894,0.16061729,38.76282431
28,Bergman et al (2010),1,familiar,questionable,WTP,yes,116,58,49.04,58,70.18,26.62349242,1.431076672,0.369,0.387264981,0.094072087,113,0.794035571,0.192874049,26.88143236
29,Tufano (2010),1,unfamiliar,informative,WTA,yes,134,67,1.33,67,1.39,0.977880361,1.045112782,0.030664173,0.030673789,0.087370406,131,0.061357199,0.172814333,33.48424271
30,Fudenberg et al (2012),1,familiar,uninformative,WTA,yes,79,39,21.35,40,21.14,23.53015415,0.990163934,0.011,0.011000444,0.114707867,76,-0.008924718,0.22503673,19.74663887
31,Fudenberg et al (2012),2,familiar,uninformative,WTP,yes,78,39,12.78,39,12.61,18.26742045,0.986697966,-0.014,-0.014000915,0.115470054,75,-0.009306185,0.226456633,19.4997889
32,Fudenberg et al (2012),3,familiar,uninformative,WTA,yes,79,39,19.16,40,19.35,17.87540133,1.009916493,0.064,0.064087597,0.114707867,76,0.010629132,0.225037198,19.74655662
33,Fudenberg et al (2012),4,lottery,uninformative,WTA,yes,108,54,37.9,54,36.3,18.64607465,0.957783641,0.026,0.026005861,0.097590007,105,-0.085808945,0.192538635,26.97517214
34,Shen (2012),1,familiar,informative,WTA,no,35,17,87.275,18,127.19,52.05915444,1.457347465,0.357959325,0.374543348,0.176776695,32,0.76672394,0.350395726,8.144837033
35,Kovalsky & Lusk (2013),1,familiar,questionable,WTP,no,351,175.5,,175.5,,,,0.024,0.02400461,0.053605627,348,0.04801383,0.106767483,87.72472072
36,Kovalsky & Lusk (2013),2,familiar,questionable,WTP,no,356,178,,178,,,,0.102,0.102355961,0.05322463,353,0.205069561,0.106278027,88.53460099
37,Kovalsky & Lusk (2013),3,familiar,questionable,WTP,no,351,175.5,,175.5,,,,0.262,0.268254609,0.053605627,348,0.542966992,0.108701302,84.63120108
38,Sugden et al (2013),1a,familiar,informative,WTA,yes,180,90,4.67,90,5.43,3.28549844,1.162740899,0.114893847,0.115403445,0.075164603,177,0.231319544,0.149568906,44.70101319
39,Sugden et al (2013),1b,familiar,informative,WTP,yes,200,100,1.41,100,1.53,1.835824066,1.085106383,0.032665429,0.032677055,0.07124705,197,0.065365741,0.141459117,49.97331
40,Sugden et al (2013),2a,familiar,informative,WTA,yes,90,45,5.12,45,5.43,3.050262284,1.060546875,0.050749822,0.050793458,0.107211253,87,0.101630605,0.21095456,22.47098776
41,Sugden et al (2013),2b,familiar,informative,WTP,yes,100,50,1.22,50,1.32,1.832211778,1.081967213,0.027279266,0.027286036,0.101534617,97,0.054578844,0.200037232,24.99069456
42,Sugden et al (2013),3a,familiar,informative,WTA,yes,90,45,4.24,45,4.29,2.965004216,1.011792453,0.008431392,0.008431591,0.107211253,87,0.016863382,0.210822258,22.49920023
43,Sugden et al (2013),3b,familiar,informative,WTP,yes,100,50,1.28,50,1.36,1.567306607,1.0625,0.025513182,0.02551872,0.101534617,97,0.05104298,0.200032565,24.99186082
44,Sugden et al (2013),4a,familiar,informative,WTA,yes,90,45,4.77,45,4.58,3.365003715,0.960167715,-0.028220523,-0.028228018,0.107211253,87,-0.056463534,0.210860514,22.49103695
45,Sugden et al (2013),4b,familiar,informative,WTP,yes,100,50,1.2,50,1.26,1.545655201,1.05,0.01940559,0.019408026,0.101534617,97,0.038818489,0.200018835,24.9952919
46,Sugden et al (2013),5a,familiar,informative,WTA,yes,90,45,4.77,45,5.66,3.587540941,1.186582809,0.123097024,0.123724497,0.107211253,87,0.248080793,0.211627872,22.32822871
47,Sugden et al (2013),5b,familiar,informative,WTP,yes,100,50,1.31,50,1.47,1.407000355,1.122137405,0.056766863,0.056827958,0.101534617,97,0.1137171,0.200161579,24.95965403
48,Sugden et al (2013),6a,familiar,informative,WTA,yes,90,45,4.42,45,5.37,2.862350433,1.214932127,0.163708692,0.165195162,0.107211253,87,0.331895071,0.212264959,22.19439884
49,Sugden et al (2013),6b,familiar,informative,WTP,yes,100,50,1.28,50,1.35,1.981236987,1.0546875,0.017662975,0.017664812,0.101534617,97,0.035331462,0.200015603,24.99609963
50,Sugden et al (2013),7a,familiar,informative,WTA,yes,90,45,4.67,45,5.42,3.054193838,1.160599572,0.12186683,0.122475567,0.107211253,87,0.245563982,0.211611563,22.33167038
51,Sugden et al (2013),7b,familiar,informative,WTP,yes,100,50,1.03,50,1.27,1.314096648,1.233009709,0.090939106,0.091191044,0.101534617,97,0.182634969,0.20041651,24.89619676
52,Sugden et al (2013),8a,familiar,informative,WTA,yes,90,45,5.02,45,5.61,3.360238087,1.11752988,0.087455023,0.087679015,0.107211253,87,0.175582796,0.211224332,22.4136254
53,Sugden et al (2013),8b,familiar,informative,WTP,yes,100,50,1.5,50,1.56,1.880239346,1.04,0.015953385,0.015954739,0.101534617,97,0.031910831,0.200012728,24.99681821
54,Sugden et al (2013),9a,familiar,informative,WTA,yes,90,45,4.76,45,5.37,3.170394297,1.128151261,0.095760437,0.096054768,0.107211253,87,0.19240509,0.211305725,22.39636162
55,Sugden et al (2013),9b,familiar,informative,WTP,yes,100,50,1.45,50,1.57,1.716231336,1.082758621,0.034938977,0.034953204,0.101534617,97,0.069920644,0.200061102,24.98473153
56,Sugden et al (2013),1c,lottery,informative,WTA,yes,36,18,5.44,18,5.86,3.435003639,1.077205882,0.061021378,0.061097288,0.174077656,33,0.122270613,0.333644648,8.983212506
57,Sugden et al (2013),1d,lottery,informative,WTP,yes,40,20,1.9,20,2.05,1.396065901,1.078947368,0.053645036,0.053696584,0.164398987,37,0.107444785,0.31645585,9.985590317
58,Sugden et al (2013),2c,lottery,informative,WTA,yes,18,9,6.11,9,6.11,3.21498056,1,0,0,0.25819889,15,0,0.471404521,4.5
59,Sugden et al (2013),2d,lottery,informative,WTP,yes,20,10,2.75,10,2.85,3.425178827,1.036363636,0.014596223,0.01459726,0.242535625,17,0.029195556,0.44723742,4.999467319
60,Sugden et al (2013),3c,lottery,informative,WTA,yes,18,9,7.22,9,8.22,1.84133104,1.138504155,0.262053212,0.268311744,0.25819889,15,0.543085398,0.480015675,4.339994311
61,Sugden et al (2013),3d,lottery,informative,WTP,yes,20,10,2.6,10,2.55,1.77045192,0.980769231,-0.014119281,-0.014120219,0.242535625,17,-0.028241377,0.447235888,4.999501565
62,Sugden et al (2013),4c,lottery,informative,WTA,yes,18,9,5,9,5.67,3.611267091,1.134,0.092368641,0.09263269,0.25819889,15,0.185530448,0.472417587,4.480720832
63,Sugden et al (2013),4d,lottery,informative,WTP,yes,20,10,0.85,10,1.3,1.012743798,1.529411765,0.216880693,0.220380499,0.242535625,17,0.444337453,0.452698458,4.879574676
64,Sugden et al (2013),5c,lottery,informative,WTA,yes,18,9,5.3,9,4.78,3.11194473,0.901886792,-0.083258955,-0.083452144,0.25819889,15,-0.167098083,0.472226457,4.484348631
65,Sugden et al (2013),5d,lottery,informative,WTP,yes,20,10,1.8,10,2.05,1.588600013,1.138888889,0.078443172,0.078604664,0.242535625,17,0.157371269,0.447905283,4.984569197
66,Sugden et al (2013),6c,lottery,informative,WTA,yes,18,9,6.56,9,7.17,2.97510504,1.092987805,0.101982879,0.10233866,0.25819889,15,0.205034778,0.472641491,4.47647653
67,Sugden et al (2013),6d,lottery,informative,WTP,yes,20,10,2.15,10,2.45,1.718851361,1.139534884,0.086937168,0.087157192,0.242535625,17,0.174535162,0.44806424,4.981033146
68,Sugden et al (2013),7c,lottery,informative,WTA,yes,18,9,6.33,9,5.78,3.505709629,0.913112164,-0.078203224,-0.078363235,0.25819889,15,-0.156886924,0.472129146,4.486197369
69,Sugden et al (2013),7d,lottery,informative,WTP,yes,20,10,2.1,10,2.3,1.970177657,1.095238095,0.050691589,0.050735075,0.242535625,17,0.101513688,0.447501537,4.993567643
70,Sugden et al (2013),8c,lottery,informative,WTA,yes,18,9,6.44,9,7.5,3.53839653,1.164596273,0.148132849,0.149230852,0.25819889,15,0.299570721,0.474041214,4.450079774
71,Sugden et al (2013),8d,lottery,informative,WTP,yes,20,10,3.9,10,3.05,4.023139321,0.782051282,-0.105054342,-0.105443396,0.242535625,17,-0.211277794,0.448459538,4.972255865
72,Sugden et al (2013),9c,lottery,informative,WTA,yes,18,9,5.22,9,6.06,1.800249983,1.16091954,0.227199691,0.231234748,0.25819889,15,0.466601865,0.47777602,4.380778589
73,Sugden et al (2013),9d,lottery,informative,WTP,yes,20,10,1.55,10,1.55,1.063014581,1,0,0,0.242535625,17,0,0.447213595,5
74,Kocas & Demir (2014),1,familiar,informative,WTP,no,524,257,18.44,267,68.16,7.326896574,3.696312364,0.959207302,1.935896063,0.043810795,521,6.785956304,0.227104487,19.38869458
75,Kocas & Demir (2014),2,familiar,informative,WTP,yes,46,23,10,23,50,22.6557112,5,0.661801466,0.796012206,0.15249857,43,1.765559229,0.347619222,8.275465498
76,Maniadis et al (2014),1,unfamiliar,informative,WTA,yes,116,58,19.6,58,25.2,25.38823546,1.285714286,0.109622631,0.110064941,0.094072087,113,0.220574605,0.186259149,28.82469843
77,Alevy et al (2015),1,familiar,questionable,WTA,yes,187,93,4.17,94,4.41,2.0075,1.057553957,0.059669332,0.0597403,0.073720978,184,0.119551681,0.146387163,46.66529441
78,Ma et al (2015),1,unfamiliar,informative,WTA,yes,48,24,10.58,24,14.18,1.115138781,1.34026465,0.850084793,1.256458451,0.149071198,45,3.228297735,0.438058052,5.211187084
79,Shah et al (2015),9,familiar,questionable,WTP,yes,95,47,41.99,48,64.21,23.80264709,1.529173613,0.422951051,0.451280552,0.104257207,92,0.933509618,0.216093629,21.41490116
80,Isoni et al (2016),1,lottery,informative,WTA,yes,204,102,10.21,102,12.11,10.21793766,1.186092067,0.0925745,0.092840324,0.070534562,201,0.185947504,0.140330287,50.78052357
81,Jung et al (2016),2,familiar,informative,WTP,yes,671,490,0.44,181,1.04,0.491101078,2.363636364,0.521301563,0.578125354,0.038691162,668,1.221744416,0.093155478,115.2346811
82,Jung et al (2016),3a,familiar,informative,WTP,yes,303,110,6.59,193,8.04,3.31285108,1.220030349,0.213785192,0.217134483,0.057735027,300,0.43768946,0.120782374,68.54769889
83,Jung et al (2016),3b,familiar,informative,WTP,yes,3978,1443,8.88,2535,9.885,4.878806209,1.113175676,0.102454508,0.102815269,0.015861032,3975,0.205993015,0.033057699,915.07091
84,Jung et al (2016),4,familiar,informative,WTP,yes,3214,1602,8.8,1612,8.88,4.76188583,1.009090909,0.008399737,0.008399935,0.017647364,3211,0.016800067,0.035279045,803.4638754
85,Jung et al (2016),5,familiar,informative,WTP,yes,1603,801,11.36,802,11.17,7.736231701,0.983274648,-0.012278955,-0.012279572,0.025,1600,-0.024559761,0.049955084,400.7196307
86,Jung et al (2016),6a,familiar,informative,WTP,yes,191,113,0.91,78,0.84,0.561014293,0.923076923,-0.062265946,-0.062346603,0.072932496,188,-0.124774005,0.147345939,46.05997087
87,Jung et al (2016),6b,familiar,informative,WTP,yes,209,117,2.47,92,3.47,2.640614773,1.4048583,0.186044063,0.188236249,0.069673301,206,0.378699692,0.140569087,50.60813734
88,Jung et al (2016),8,familiar,informative,WTP,yes,737,347.5,0.85,389.5,0.84,1.628367688,0.988235294,-0.003070545,-0.003070555,0.036910674,734,-0.006141119,0.07379104,183.6507653
89,Jung et al (2016),9,familiar,informative,WTP,yes,771,378,11.1,393,11.17,3.737807974,1.006306306,0.009363366,0.00936364,0.036084392,768,0.018727554,0.072043455,192.6685994
90,Jung et al (2016),10,familiar,informative,WTP,yes,2190,1122,10.78,1068,11.17,5.798712218,1.036178108,0.033609158,0.033621821,0.021383343,2187,0.067256312,0.042762459,546.8581033
91,Jung et al (2016),11,familiar,informative,WTP,yes,209,121,1.06,88,0.77,1.520972229,0.726415094,-0.094903468,-0.095189939,0.069673301,206,-0.190667518,0.140410365,50.72261798
92,Jung et al (2016),12a,familiar,informative,WTP,yes,714,345,11.836667,369,11.216667,6.804767901,0.94762039,-0.045509093,-0.04554055,0.03750293,711,-0.091112586,0.074929241,178.1137017
93,Jung et al (2016),12b,familiar,informative,WTP,yes,4110,2048,10.423333,2062,10.49,4.847379776,1.006395939,0.006876439,0.006876548,0.015604061,4107,0.013753203,0.031197281,1027.463785
94,Jung et al (2016),13,familiar,informative,WTP,yes,459,308.5,2.485,150.5,2.575,2.854881684,1.036217304,0.015760517,0.015761822,0.046829291,456,0.031524949,0.099433857,101.1419743
95,Jung et al (2016),14a,familiar,informative,WTP,no,386,205,13.01,181,15.78,10.06709491,1.212913144,0.136293137,0.137146588,0.051097613,383,0.275153858,0.10247429,95.22920584
96,Jung et al (2016),14b,familiar,informative,WTP,no,581,274,5.1,307,5.99,3.269829661,1.174509804,0.134849655,0.135676079,0.041594517,578,0.272185432,0.08349084,143.4571955
97,Jung et al (2016),14c,familiar,informative,WTP,no,117,61,0.82,56,1.47,0.879436579,1.792682927,0.346641535,0.361621545,0.093658581,114,0.73910958,0.191272392,27.33351097
98,Jung et al (2016),14d,familiar,informative,WTP,no,1717,863,0.6033333,854,1,0.791745401,1.657458655,0.242993381,0.247952885,0.024154308,1714,0.501002847,0.049018389,416.1806952
99,Li et al (2017),1,familiar,questionable,WTP,yes,88,44,62.45,44,75.8,,1.213771017,0.298,0.307323247,0.108465229,85,0.624367599,0.218333498,20.9777668
100,Mattei & Hellebusch (2017),1,familiar,questionable,WTP,no,22,11,19.21,11,28.38,,1.477355544,0.156786658,0.158090659,0.229415734,19,0.3175,0.429079518,5.431558124
101,Mattei & Hellebusch (2017),2,familiar,questionable,WTP,no,69,34.5,22.65,34.5,28.74,,1.268874172,0.089637699,0.089878941,0.123091491,66,0.18,0.241258776,17.1804193
102,Mattei & Hellebusch (2017),3,familiar,questionable,WTP,no,21,11,17.13,10,17.23,,1.005837712,0.059892291,0.059964058,0.23570226,18,0.12,0.437323619,5.228704911
103,Mattei & Hellebusch (2017),4,familiar,questionable,WTP,no,22,11,78.66,11,42.61,,0.541698449,-0.021245204,-0.021248401,0.229415734,19,-0.0425,0.426449567,5.498758483
104,Mattei & Hellebusch (2017),5,familiar,questionable,WTP,no,42,21,57.01,21,65.68,,1.152078583,-0.006249878,-0.006249959,0.160128154,39,-0.0125,0.308609714,10.49979493
105,Mattei & Hellebusch (2017),6,familiar,questionable,WTP,no,19,10,43.63,9,59.81,,1.370845748,0.026240961,0.026246986,0.25,16,0.0525,0.459547216,4.735215195
106,Mattei & Hellebusch (2017),7,familiar,questionable,WTP,no,42,21,83.67,21,63.59,,0.760009561,-0.0137487,-0.013749567,0.160128154,39,-0.0275,0.308621286,10.49900752
107,Mattei & Hellebusch (2018),1,familiar,questionable,WTP,no,17,9,33.13,8,44.15,,1.332629037,0.089637699,0.089878941,0.267261242,14,0.18,0.486892239,4.218269241
108,Mattei & Hellebusch (2018),2,familiar,questionable,WTP,no,36,18,38.98,18,49.2,,1.262185736,0.034978582,0.034992858,0.174077656,33,0.07,0.333435401,8.994490874
109,Mattei & Hellebusch (2018),3,familiar,questionable,WTP,no,13,7,11,6,20.5,,1.863636364,0.162798783,0.164260339,0.316227766,10,0.33,0.560100233,3.187634314
110,Ifscher & Zarghamee (2019),1,familiar,informative,WTP,yes,190,90,4.78,100,6.24,4.638616179,1.305439331,0.155461163,0.156732047,0.073127242,187,0.314749042,0.146191018,46.79060079
111,Yoon et al (2019),1,familiar,questionable,WTP,yes,116,58,24.16,58,33.77,11.26421324,1.397764901,0.392365159,0.414592511,0.094072087,113,0.85314436,0.193958928,26.58155893
112,Yoon et al (2019),2,familiar,questionable,WTP,yes,82,41,33.31,41,42.96,15.2884041,1.289702792,0.300965906,0.310581378,0.11250879,79,0.63119734,0.226295863,19.52750561
113,Yoon et al (2019),3,familiar,questionable,WTP,yes,153,83,24.66,70,30.16,15.29843761,1.223033252,0.176921255,0.178802662,0.081649658,150,0.359513837,0.16357351,37.3743847
114,Yoon & Fong (2019),Pilot,familiar,questionable,WTP,yes,141,71,26.19,70,30.44,16.88210451,1.162275678,0.124887462,0.125542892,0.085125653,138,0.251745865,0.16910044,34.97119913
115,Yoon & Fong (2019),1,familiar,questionable,WTP,yes,194,97,28.07,97,38.18,12.59791253,1.360171001,0.372396101,0.391202119,0.072357461,191,0.802513907,0.149259586,44.8864782
116,Yoon & Fong (2019),2,familiar,questionable,WTP,yes,309,162,34.1,147,40.23,19.73246524,1.179765396,0.153487243,0.154709873,0.057166195,306,0.310655558,0.11459372,76.15148322
117,Yoon & Fong (2019),3,familiar,questionable,WTP,yes,214,108,27.57,106,44.6,17.72537851,1.617700399,0.43301285,0.463598878,0.068842839,211,0.960769328,0.144395101,47.96175693
118,Ioannidis et al (2019),1,familiar,uninformative,WTA,yes,316,159,5.79,157,6.07,3.137897284,1.04835924,0.044571525,0.044601076,0.056523342,313,0.089231729,0.112567018,78.91829219
